Soil_type,Temperature,Humidity,ph,Rainfall,District,Zone,Crop,Label,Suitability
Sandy Clay loam,29.8,76.9,6.5,1103,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Loam,30.4,76.0,5.0,1354,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,33.6,74.5,5.2,1296,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Loam,32.6,75.0,6.9,1045,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Sandy regosol,27.3,61.0,6.1,1169,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Sandy loam,31.5,58.3,4.9,1380,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Loam,28.0,58.3,6.9,1183,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Sandy regosol,31.7,74.5,6.0,907,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Sandy loam,30.2,68.0,6.3,936,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Loam,30.5,73.3,5.1,1143,Kilinochchi,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,31.5,61.4,6.3,1336,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy Clay loam,28.1,77.2,5.6,1159,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy loam,31.4,63.1,6.6,1302,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy loam,33.9,68.0,6.5,1127,Kilinochchi,Dry,Pepper,0,Not Suitable
Clay loam,27.9,68.9,5.6,1173,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy regosol,29.9,75.1,5.6,1328,Kilinochchi,Dry,Pepper,0,Not Suitable
Red loam,27.6,63.3,5.7,1337,Kilinochchi,Dry,Pepper,0,Not Suitable
Red loam,32.0,60.0,6.0,1212,Kilinochchi,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,32.5,62.7,5.8,1220,Kilinochchi,Dry,Pepper,0,Not Suitable
Loamy soil,32.0,75.5,6.6,963,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy Clay loam,31.2,60.5,5.7,1114,Kilinochchi,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,31.9,73.2,6.2,953,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy loam,32.7,76.7,6.7,1157,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy Clay loam,30.7,65.9,6.1,1324,Kilinochchi,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,30.3,67.8,6.6,1323,Kilinochchi,Dry,Pepper,0,Not Suitable
Clay loam,29.8,64.7,6.2,1146,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy Clay loam,28.7,73.9,5.9,1143,Kilinochchi,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,27.7,62.8,5.9,1375,Kilinochchi,Dry,Pepper,0,Not Suitable
Loam,28.2,67.2,5.5,1054,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy loam,29.3,68.9,6.0,1176,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy Clay loam,30.1,77.3,5.8,1089,Kilinochchi,Dry,Pepper,0,Not Suitable
Red loam,28.7,67.2,5.8,1280,Kilinochchi,Dry,Pepper,0,Not Suitable
Clay loam,32.0,58.4,6.5,1109,Kilinochchi,Dry,Pepper,0,Not Suitable
Red loam,29.4,69.3,6.5,1002,Kilinochchi,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,27.4,75.1,6.6,999,Kilinochchi,Dry,Pepper,0,Not Suitable
Loam,29.5,72.5,6.7,1060,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy loam,27.9,61.6,5.6,1147,Kilinochchi,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,28.4,76.9,6.0,1388,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy Clay loam,33.5,68.9,6.4,1035,Kilinochchi,Dry,Pepper,0,Not Suitable
Sandy Clay loam,31.6,77.8,6.4,1033,Kilinochchi,Dry,Pepper,0,Not Suitable
Loam,27.4,60.3,7.0,902,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Clay loam,32.6,73.7,6.0,1155,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Clay loam,28.1,63.7,6.6,1088,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Sandy regosol,30.8,59.5,5.7,909,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loamy soil,29.9,76.7,6.7,1219,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loamy soil,30.3,65.2,6.8,954,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Clay loam,32.5,61.4,6.2,1156,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Sandy loam,31.4,76.9,6.3,1190,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Clay loam,27.4,59.3,5.5,994,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Red loam,32.2,72.5,6.8,968,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Clay loam,28.1,64.0,6.1,1024,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Red loam,28.8,67.8,7.0,1104,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loamy soil,27.4,60.8,6.4,926,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Sandy regosol,27.4,74.7,6.3,1156,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Sandy regosol,30.9,61.4,6.0,999,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loam,31.2,62.2,7.0,958,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Clay loam,27.2,74.1,5.9,1294,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Red loam,27.9,60.9,6.5,1249,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loam,32.5,76.7,5.7,1246,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Clay loam,28.7,74.8,5.6,1005,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Sandy regosol,31.9,66.1,6.5,1360,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loamy soil,27.6,77.0,6.0,1029,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loam,29.8,59.0,5.7,1148,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Red loam,29.8,65.0,6.7,1286,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Sandy regosol,28.1,65.3,5.7,1087,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loamy soil,32.6,72.1,6.1,995,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Clay loam,27.7,70.6,7.0,961,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loam,32.5,65.8,6.9,1189,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Red loam,30.9,61.5,6.8,1089,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Loamy soil,31.5,71.0,6.8,1333,Kilinochchi,Dry,Areca-nut,0,Not Suitable
Red-Yellow Latosols,31.3,66.9,5.5,1635,Kurunegala,Intermediate,Tea,0,Not Suitable
Loamy soil,29.8,77.1,5.5,1333,Kurunegala,Intermediate,Tea,0,Not Suitable
Loam,29.5,66.7,4.7,1571,Kurunegala,Intermediate,Tea,0,Not Suitable
Loamy soil,26.0,65.4,5.2,1520,Kurunegala,Intermediate,Tea,1,Suitable
Clay loam,28.6,78.3,4.8,1869,Kurunegala,Intermediate,Tea,1,Suitable
Red loam,24.1,82.0,5.8,1325,Kurunegala,Intermediate,Tea,1,Suitable
Reddish Brown Earth,30.6,75.0,4.6,1985,Kurunegala,Intermediate,Tea,1,Suitable
Loamy soil,25.7,77.8,5.7,1480,Kurunegala,Intermediate,Tea,1,Suitable
Red-Yellow Podzolic soils,23.6,76.0,5.3,1673,Kurunegala,Intermediate,Tea,1,Suitable
Reddish Brown Earth,25.3,72.3,4.8,1875,Kurunegala,Intermediate,Tea,1,Suitable
Reddish Brown Earth,30.4,76.3,5.4,1810,Kurunegala,Intermediate,Tea,1,Suitable
Red loam,24.9,76.4,5.1,1894,Kurunegala,Intermediate,Tea,1,Suitable
Red loam,31.7,74.0,5.0,1314,Kurunegala,Intermediate,Tea,0,Not Suitable
Sandy loam,31.6,71.4,5.6,1894,Kurunegala,Intermediate,Tea,1,Suitable
Clay loam,26.2,66.7,4.9,1780,Kurunegala,Intermediate,Tea,1,Suitable
Sandy loam,30.0,73.9,5.5,1588,Kurunegala,Intermediate,Tea,1,Suitable
Red-Yellow Latosols,26.4,73.9,5.0,1501,Kurunegala,Intermediate,Tea,1,Suitable
Red-Yellow Latosols,27.7,81.2,5.2,1489,Kurunegala,Intermediate,Tea,1,Suitable
Red-Yellow Latosols,29.0,70.4,5.7,1422,Kurunegala,Intermediate,Tea,1,Suitable
Loam,29.5,76.5,4.5,1718,Kurunegala,Intermediate,Tea,1,Suitable
Loamy soil,28.6,75.2,5.0,1637,Kurunegala,Intermediate,Tea,1,Suitable
Red loam,23.7,68.9,5.0,1961,Kurunegala,Intermediate,Tea,1,Suitable
Loamy soils,27.2,66.1,5.4,1230,Kurunegala,Intermediate,Tea,0,Not Suitable
Red loam,27.8,75.2,5.5,1394,Kurunegala,Intermediate,Tea,0,Not Suitable
Red loam,24.5,68.8,4.9,1569,Kurunegala,Intermediate,Tea,1,Suitable
Red loam,25.2,77.9,5.6,1721,Kurunegala,Intermediate,Tea,1,Suitable
Red loam,26.8,66.5,5.8,1419,Kurunegala,Intermediate,Tea,1,Suitable
Red-Yellow Podzolic soils,28.4,79.2,5.2,1206,Kurunegala,Intermediate,Tea,0,Not Suitable
Loam,23.3,76.4,5.8,1937,Kurunegala,Intermediate,Tea,1,Suitable
Loamy soils,27.9,74.2,5.4,1956,Kurunegala,Intermediate,Tea,1,Suitable
Red loam,23.6,74.3,5.8,1392,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy Clay loam,27.1,76.6,5.2,1485,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy Clay loam,27.5,81.6,5.5,1731,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy loam,31.4,83.2,4.9,1367,Kurunegala,Intermediate,Cinnamon,1,Suitable
Reddish Brown Earth,29.7,81.6,6.8,1974,Kurunegala,Intermediate,Cinnamon,1,Suitable
Clay loam,28.4,75.6,5.3,1222,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red loam,27.1,77.6,6.4,1646,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red-Yellow Latosols,25.5,76.3,5.7,1271,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy Clay loam,29.8,78.9,5.4,1993,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red-Yellow Latosols,27.5,71.6,6.7,1552,Kurunegala,Intermediate,Cinnamon,1,Suitable
Reddish Brown Earth,29.2,82.6,6.7,1363,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy loam,23.5,82.8,5.5,1463,Kurunegala,Intermediate,Cinnamon,1,Suitable
Clay loam,27.6,83.8,5.6,1238,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy loam,30.7,72.9,5.7,1359,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red loam,26.5,83.3,5.9,1810,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red-Yellow Latosols,31.9,74.3,5.4,1247,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red-Yellow Latosols,26.9,68.1,6.5,1958,Kurunegala,Intermediate,Cinnamon,1,Suitable
Reddish Brown Earth,25.4,76.8,6.9,1777,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red-Yellow Latosols,30.9,75.3,6.0,1820,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy loam,28.0,67.3,6.0,1301,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red loam,25.4,65.4,4.9,1778,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy Clay loam,28.4,75.8,5.9,1975,Kurunegala,Intermediate,Cinnamon,1,Suitable
Clay loam,23.6,76.0,7.0,1873,Kurunegala,Intermediate,Cinnamon,1,Suitable
Reddish Brown Earth,26.9,71.4,5.2,1925,Kurunegala,Intermediate,Cinnamon,1,Suitable
Reddish Brown Earth,28.5,73.1,5.6,1233,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red-Yellow Latosols,25.4,78.7,5.4,1959,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red loam,30.3,66.1,5.0,1630,Kurunegala,Intermediate,Cinnamon,1,Suitable
Red-Yellow Latosols,31.4,80.3,6.6,1726,Kurunegala,Intermediate,Cinnamon,1,Suitable
Reddish Brown Earth,28.8,84.4,6.8,1771,Kurunegala,Intermediate,Cinnamon,1,Suitable
Clay loam,27.7,67.3,5.1,1623,Kurunegala,Intermediate,Cinnamon,1,Suitable
Sandy Clay loam,28.3,74.6,5.5,1698,Kurunegala,Intermediate,Pepper,1,Suitable
Red loam,24.8,74.8,6.0,1960,Kurunegala,Intermediate,Pepper,1,Suitable
Reddish Brown Earth,26.8,79.3,5.9,1683,Kurunegala,Intermediate,Pepper,1,Suitable
Red loam,26.7,69.4,5.7,1973,Kurunegala,Intermediate,Pepper,1,Suitable
Clay loam,26.3,65.5,6.5,1377,Kurunegala,Intermediate,Pepper,0,Not Suitable
Loam,24.8,66.6,5.5,1580,Kurunegala,Intermediate,Pepper,1,Suitable
Red-Yellow Latosols,23.8,81.2,6.7,1817,Kurunegala,Intermediate,Pepper,1,Suitable
Loamy soil,30.7,78.7,6.5,1242,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy loam,30.6,81.0,5.8,1607,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy loam,30.6,79.5,5.7,1985,Kurunegala,Intermediate,Pepper,1,Suitable
Clay loam,25.0,69.2,5.7,1834,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy loam,23.6,85.0,6.6,1220,Kurunegala,Intermediate,Pepper,1,Suitable
Red loam,26.3,81.8,6.7,1644,Kurunegala,Intermediate,Pepper,1,Suitable
Clay loam,31.3,65.2,5.8,1260,Kurunegala,Intermediate,Pepper,0,Not Suitable
Red-Yellow Latosols,29.0,82.8,6.3,1568,Kurunegala,Intermediate,Pepper,1,Suitable
Red loam,24.7,81.1,5.8,1974,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy Clay loam,27.5,66.7,6.2,1647,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy loam,24.3,73.8,6.2,1467,Kurunegala,Intermediate,Pepper,1,Suitable
Reddish Brown Earth,28.3,65.2,6.4,1809,Kurunegala,Intermediate,Pepper,1,Suitable
Red-Yellow Latosols,26.3,66.1,6.7,1804,Kurunegala,Intermediate,Pepper,1,Suitable
Loamy soil,25.2,71.5,6.3,1347,Kurunegala,Intermediate,Pepper,1,Suitable
Loam,24.4,72.1,6.2,1758,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy Clay loam,26.5,73.4,5.5,1650,Kurunegala,Intermediate,Pepper,1,Suitable
Loam,23.7,82.6,6.4,1262,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy Clay loam,31.3,70.4,6.2,1496,Kurunegala,Intermediate,Pepper,1,Suitable
Loamy soil,30.9,83.8,5.6,1792,Kurunegala,Intermediate,Pepper,1,Suitable
Reddish Brown Earth,29.0,73.2,5.6,1577,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy Clay loam,24.7,80.8,5.9,1563,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy loam,26.5,82.1,5.9,1799,Kurunegala,Intermediate,Pepper,1,Suitable
Loamy soil,24.1,70.0,6.3,1937,Kurunegala,Intermediate,Pepper,1,Suitable
Sandy loam,27.8,76.9,6.7,1493,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loam,27.7,67.3,6.3,1303,Kurunegala,Intermediate,Areca-nut,1,Suitable
Red loam,31.4,71.2,6.6,1896,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loam,25.2,65.7,6.6,1281,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soils,24.8,72.4,6.6,1601,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soil,24.0,73.1,6.3,1588,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soil,30.4,68.4,6.5,1846,Kurunegala,Intermediate,Areca-nut,1,Suitable
Red loam,28.0,79.0,5.7,1530,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soils,29.0,75.5,6.0,1711,Kurunegala,Intermediate,Areca-nut,1,Suitable
Sandy loam,31.2,76.7,6.2,1268,Kurunegala,Intermediate,Areca-nut,1,Suitable
Sandy loam,29.8,80.9,6.8,1596,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loam,25.4,73.2,6.8,1919,Kurunegala,Intermediate,Areca-nut,1,Suitable
Red loam,29.2,82.2,6.8,1271,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soils,25.9,68.6,6.1,1391,Kurunegala,Intermediate,Areca-nut,1,Suitable
Reddish Brown Earth,25.3,71.4,5.9,1308,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soil,28.2,73.8,6.6,1477,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soils,31.0,80.1,6.6,1466,Kurunegala,Intermediate,Areca-nut,1,Suitable
Sandy loam,24.4,67.6,6.7,1477,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soils,25.2,66.3,6.8,1305,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soil,28.7,70.1,6.3,1644,Kurunegala,Intermediate,Areca-nut,1,Suitable
Reddish Brown Earth,28.9,69.7,6.0,1892,Kurunegala,Intermediate,Areca-nut,1,Suitable
Reddish Brown Earth,29.2,65.3,6.0,1498,Kurunegala,Intermediate,Areca-nut,1,Suitable
Clay loam,27.9,66.5,5.8,1832,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loam,29.1,81.1,6.6,1650,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loam,29.0,72.1,5.9,1847,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loam,28.1,79.9,6.0,1503,Kurunegala,Intermediate,Areca-nut,1,Suitable
Red loam,27.1,81.4,6.3,1944,Kurunegala,Intermediate,Areca-nut,1,Suitable
Sandy loam,29.0,83.1,5.8,1279,Kurunegala,Intermediate,Areca-nut,1,Suitable
Loamy soils,29.4,81.5,6.1,1886,Kurunegala,Intermediate,Areca-nut,1,Suitable
Sandy loam,23.8,73.8,5.9,1385,Kurunegala,Intermediate,Areca-nut,1,Suitable
Red-Yellow Podzolic soils,33.4,56.3,5.1,931,Mannar,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,32.2,56.5,4.6,735,Mannar,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,34.7,68.7,4.8,784,Mannar,Dry,Tea,0,Not Suitable
Loamy soils,34.5,60.9,5.2,664,Mannar,Dry,Tea,0,Not Suitable
Red loam,34.6,55.1,5.7,695,Mannar,Dry,Tea,0,Not Suitable
Sandy regosol,29.2,56.9,5.6,828,Mannar,Dry,Tea,0,Not Suitable
Reddish Brown Earth,31.3,71.9,4.6,872,Mannar,Dry,Tea,0,Not Suitable
Sandy regosol,34.9,61.9,5.2,715,Mannar,Dry,Tea,0,Not Suitable
Red loam,30.1,56.5,5.1,601,Mannar,Dry,Tea,0,Not Suitable
Sandy loam,33.9,64.7,4.9,1000,Mannar,Dry,Tea,0,Not Suitable
Reddish Brown Earth,30.0,57.7,4.9,666,Mannar,Dry,Tea,0,Not Suitable
Loamy soils,33.5,70.4,4.8,990,Mannar,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,34.2,60.6,5.6,645,Mannar,Dry,Tea,0,Not Suitable
Clay loam,32.5,57.8,4.9,772,Mannar,Dry,Tea,0,Not Suitable
Red loam,33.2,62.7,4.6,996,Mannar,Dry,Tea,0,Not Suitable
Red loam,30.5,63.2,4.9,801,Mannar,Dry,Tea,0,Not Suitable
Clay loam,33.1,69.9,5.5,975,Mannar,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,34.0,64.4,4.9,930,Mannar,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,30.8,60.4,4.9,787,Mannar,Dry,Tea,0,Not Suitable
Sandy loam,34.7,60.3,5.2,639,Mannar,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,28.4,56.9,5.1,688,Mannar,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,31.0,68.6,5.1,896,Mannar,Dry,Tea,0,Not Suitable
Reddish Brown Earth,30.3,60.4,4.6,910,Mannar,Dry,Tea,0,Not Suitable
Loam,28.1,68.5,4.7,791,Mannar,Dry,Tea,0,Not Suitable
Sandy regosol,29.6,70.9,5.4,944,Mannar,Dry,Tea,0,Not Suitable
Loamy soils,31.4,63.8,5.8,990,Mannar,Dry,Tea,0,Not Suitable
Sandy loam,29.5,68.8,4.8,679,Mannar,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,32.7,61.9,4.6,973,Mannar,Dry,Tea,0,Not Suitable
Loamy soil,31.6,70.6,4.7,962,Mannar,Dry,Tea,0,Not Suitable
Reddish Brown Earth,30.6,65.5,5.8,664,Mannar,Dry,Tea,0,Not Suitable
Sandy regosol,34.4,57.8,5.0,648,Mannar,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,34.4,58.3,5.8,767,Mannar,Dry,Cinnamon,0,Not Suitable
Red loam,32.2,56.2,6.8,691,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,34.4,68.3,5.5,608,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,32.4,59.7,6.2,964,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy loam,28.5,70.5,5.0,983,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy regosol,31.7,60.2,5.2,757,Mannar,Dry,Cinnamon,0,Not Suitable
Loam,32.0,71.3,5.0,801,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy loam,32.3,60.8,5.8,942,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy regosol,29.3,58.2,5.4,908,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy regosol,33.4,58.5,5.8,729,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy regosol,34.6,70.8,5.6,683,Mannar,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,29.0,63.7,6.8,784,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy regosol,34.5,61.5,6.8,797,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy regosol,33.6,55.1,5.7,728,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy loam,29.6,58.4,6.2,615,Mannar,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,29.8,55.9,6.6,692,Mannar,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,34.0,63.2,7.0,766,Mannar,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,29.4,58.7,5.2,717,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy loam,30.7,70.5,5.7,846,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,34.5,55.8,6.0,684,Mannar,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,32.3,55.7,6.2,761,Mannar,Dry,Cinnamon,0,Not Suitable
Loam,32.9,65.8,5.0,728,Mannar,Dry,Cinnamon,0,Not Suitable
Loam,31.0,57.2,5.8,979,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,30.2,68.0,5.5,799,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy loam,33.7,69.7,4.9,869,Mannar,Dry,Cinnamon,0,Not Suitable
Loam,32.0,68.0,5.3,655,Mannar,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,34.2,55.3,5.8,901,Mannar,Dry,Cinnamon,0,Not Suitable
Sandy loam,31.1,55.1,5.6,928,Mannar,Dry,Cinnamon,0,Not Suitable
Loam,31.8,66.5,6.9,881,Mannar,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,31.7,61.8,6.3,981,Mannar,Dry,Pepper,0,Not Suitable
Red loam,30.1,57.1,6.0,937,Mannar,Dry,Pepper,0,Not Suitable
Clay loam,32.6,63.0,6.3,680,Mannar,Dry,Pepper,0,Not Suitable
Loam,28.4,62.0,6.1,819,Mannar,Dry,Pepper,0,Not Suitable
Sandy loam,33.2,69.1,5.6,908,Mannar,Dry,Pepper,0,Not Suitable
Clay loam,29.4,64.1,6.6,974,Mannar,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,33.9,60.2,6.1,772,Mannar,Dry,Pepper,0,Not Suitable
Clay loam,29.1,55.5,5.8,979,Mannar,Dry,Pepper,0,Not Suitable
Loam,29.7,56.4,6.3,971,Mannar,Dry,Pepper,0,Not Suitable
Sandy Clay loam,32.7,70.5,6.3,738,Mannar,Dry,Pepper,0,Not Suitable
Sandy Clay loam,28.3,58.2,6.5,932,Mannar,Dry,Pepper,0,Not Suitable
Loam,30.5,61.4,5.5,813,Mannar,Dry,Pepper,0,Not Suitable
Loam,29.7,58.5,6.5,700,Mannar,Dry,Pepper,0,Not Suitable
Red loam,30.0,58.3,6.6,802,Mannar,Dry,Pepper,0,Not Suitable
Sandy Clay loam,29.7,56.3,6.5,743,Mannar,Dry,Pepper,0,Not Suitable
Sandy loam,31.9,68.9,6.5,984,Mannar,Dry,Pepper,0,Not Suitable
Sandy regosol,32.2,63.4,6.8,616,Mannar,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,30.7,57.6,5.9,867,Mannar,Dry,Pepper,0,Not Suitable
Sandy loam,32.1,65.0,6.6,778,Mannar,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,29.9,62.6,6.4,815,Mannar,Dry,Pepper,0,Not Suitable
Sandy loam,33.5,61.7,5.7,858,Mannar,Dry,Pepper,0,Not Suitable
Clay loam,34.5,61.5,5.5,892,Mannar,Dry,Pepper,0,Not Suitable
Sandy regosol,29.4,63.3,6.2,951,Mannar,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,34.5,63.2,5.7,796,Mannar,Dry,Pepper,0,Not Suitable
Loamy soil,33.6,59.2,6.7,960,Mannar,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,34.6,63.8,6.5,871,Mannar,Dry,Pepper,0,Not Suitable
Sandy Clay loam,28.9,65.2,6.1,614,Mannar,Dry,Pepper,0,Not Suitable
Sandy regosol,29.1,58.1,6.1,746,Mannar,Dry,Pepper,0,Not Suitable
Sandy loam,32.4,56.3,5.7,801,Mannar,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,32.0,65.8,6.5,823,Mannar,Dry,Pepper,0,Not Suitable
Sandy regosol,30.3,68.0,6.2,773,Mannar,Dry,Areca-nut,0,Not Suitable
Clay loam,32.5,55.3,6.4,862,Mannar,Dry,Areca-nut,0,Not Suitable
Sandy loam,30.2,56.5,6.9,636,Mannar,Dry,Areca-nut,0,Not Suitable
Clay loam,32.8,57.2,6.4,743,Mannar,Dry,Areca-nut,0,Not Suitable
Sandy regosol,33.8,55.7,6.8,695,Mannar,Dry,Areca-nut,0,Not Suitable
Red loam,28.1,58.4,6.4,984,Mannar,Dry,Areca-nut,0,Not Suitable
Clay loam,29.8,56.1,5.9,611,Mannar,Dry,Areca-nut,0,Not Suitable
Loamy soil,34.2,62.1,6.9,888,Mannar,Dry,Areca-nut,0,Not Suitable
Loamy soil,30.9,58.3,6.9,807,Mannar,Dry,Areca-nut,0,Not Suitable
Loamy soils,33.6,56.1,6.4,877,Mannar,Dry,Areca-nut,0,Not Suitable
Loamy soil,34.4,57.1,6.8,814,Mannar,Dry,Areca-nut,0,Not Suitable
Clay loam,30.9,63.2,5.9,628,Mannar,Dry,Areca-nut,0,Not Suitable
